metric,With Neutral,Without Neutral,delta,pct_change
auc_macro,0.74425,0.78285,0.03859,5.18550
auc_micro,0.88000,0.88335,0.00334,0.37990
auc,0.88000,0.88335,0.00334,0.37990
macro_f1,0.09035,0.12831,0.03796,42.01247
micro_f1,0.35163,0.33451,-0.01711,-4.86678
macro_precision,0.15470,0.23803,0.08334,53.87253
micro_precision,0.70847,0.85662,0.14815,20.91137
macro_recall,0.07025,0.10841,0.03816,54.32345
micro_recall,0.23384,0.20784,-0.02601,-11.12119
num_labels,28.00000,27.00000,-1.00000,
num_classes,28.00000,27.00000,-1.00000,
total_support,6329.00000,4542.00000,-1787.00000,
