emotion,f1_score_With Neutral,f1_score_Without Neutral,f1_delta,support_With Neutral,support_Without Neutral,support_delta
neutral,0.58898,,-0.58898,1787,,-1787.00000
love,0.30662,0.73301,0.42639,238,238.00000,0.00000
curiosity,0.00690,0.39801,0.39111,284,284.00000,0.00000
amusement,0.36686,0.72767,0.36080,264,264.00000,0.00000
admiration,0.45519,0.58365,0.12846,504,504.00000,0.00000
gratitude,0.80537,0.91704,0.11167,352,352.00000,0.00000
optimism,0.00000,0.08247,0.08247,186,186.00000,0.00000
sadness,0.00000,0.01274,0.01274,156,156.00000,0.00000
anger,0.00000,0.00990,0.00990,198,198.00000,0.00000
caring,0.00000,0.00000,0.00000,135,135.00000,0.00000
joy,0.00000,0.00000,0.00000,161,161.00000,0.00000
surprise,0.00000,0.00000,0.00000,141,141.00000,0.00000
remorse,0.00000,0.00000,0.00000,56,56.00000,0.00000
relief,0.00000,0.00000,0.00000,11,11.00000,0.00000
realization,0.00000,0.00000,0.00000,145,145.00000,0.00000
pride,0.00000,0.00000,0.00000,16,16.00000,0.00000
nervousness,0.00000,0.00000,0.00000,23,23.00000,0.00000
grief,0.00000,0.00000,0.00000,6,6.00000,0.00000
confusion,0.00000,0.00000,0.00000,153,153.00000,0.00000
annoyance,0.00000,0.00000,0.00000,320,320.00000,0.00000
excitement,0.00000,0.00000,0.00000,103,103.00000,0.00000
embarrassment,0.00000,0.00000,0.00000,37,37.00000,0.00000
disgust,0.00000,0.00000,0.00000,123,123.00000,0.00000
disapproval,0.00000,0.00000,0.00000,267,267.00000,0.00000
disappointment,0.00000,0.00000,0.00000,151,151.00000,0.00000
desire,0.00000,0.00000,0.00000,83,83.00000,0.00000
approval,0.00000,0.00000,0.00000,351,351.00000,0.00000
fear,0.00000,0.00000,0.00000,78,78.00000,0.00000
